time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577964736.038739,psf_trial6_00006040.fits,0.121282,3.798898,-4.160055,52.000000,44.000000
1577964737.058992,psf_trial6_00006046.fits,-0.128064,7.286669,-11.575024,52.000000,44.000000
1577964737.852611,psf_trial6_00006052.fits,-0.127389,6.573305,-10.667034,52.000000,44.000000
1577964738.649869,psf_trial6_00006057.fits,-0.027472,4.180757,-11.600664,52.000000,44.000000
1577964739.433184,psf_trial6_00006063.fits,-0.025230,4.083286,-10.605270,52.000000,44.000000
1577964740.240008,psf_trial6_00006068.fits,-0.192764,1.629041,-15.938128,52.000000,44.000000
1577964741.028340,psf_trial6_00006074.fits,-0.923942,-1.022837,4.932152,52.000000,43.000000
1577964741.819528,psf_trial6_00006079.fits,-0.028574,-3.999917,-10.537911,52.000000,44.000000
1577964742.605071,psf_trial6_00006085.fits,-0.130671,-4.406086,-11.139761,52.000000,44.000000
1577964743.407417,psf_trial6_00006090.fits,-0.678586,-6.538722,11.837919,52.000000,43.000000
1577964744.198914,psf_trial6_00006096.fits,-0.919266,-6.552203,3.826415,52.000000,43.000000
1577964744.992750,psf_trial6_00006101.fits,-1.175601,-7.155768,7.260429,52.000000,43.000000
1577964745.801432,psf_trial6_00006107.fits,-1.426929,-6.458571,11.908021,52.000000,43.000000
1577964746.599980,psf_trial6_00006112.fits,-1.425453,-7.715226,11.939998,52.000000,43.000000
1577964747.398711,psf_trial6_00006118.fits,-1.425682,-7.707949,10.883591,52.000000,43.000000
1577964748.194246,psf_trial6_00006124.fits,-1.672821,-9.075857,3.999667,52.000000,43.000000
1577964748.988720,psf_trial6_00006129.fits,-1.672821,-9.075857,3.999667,52.000000,43.000000
1577964749.791537,psf_trial6_00006135.fits,-1.040757,-3.087805,-13.655715,52.000000,44.000000
1577964750.589156,psf_trial6_00006140.fits,1.695076,-3.795544,10.775410,52.000000,43.000000
1577964751.401044,psf_trial6_00006146.fits,-1.848259,86.359906,-104.904809,52.000000,43.000000
1577964752.200597,psf_trial6_00006152.fits,-1.674498,-0.560467,4.204848,52.000000,43.000000
1577964753.004915,psf_trial6_00006157.fits,1.881928,18.290133,-144.201144,52.000000,43.000000
1577964753.805983,psf_trial6_00006163.fits,1.891721,21.506132,-144.529784,52.000000,43.000000
1577964754.610367,psf_trial6_00006168.fits,-1.674498,-0.560467,4.204848,52.000000,43.000000
1577964755.416487,psf_trial6_00006174.fits,-1.827071,-4.541420,6.076537,52.000000,43.000000
1577964756.230654,psf_trial6_00006179.fits,-1.832394,-1.198382,6.156444,52.000000,43.000000
1577964757.057775,psf_trial6_00006185.fits,-1.833321,-2.001340,6.958288,52.000000,43.000000
