time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577954447.097833,psf_trial2_00003796.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954447.848022,psf_trial2_00003802.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954448.591629,psf_trial2_00003807.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954449.347181,psf_trial2_00003812.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954450.098146,psf_trial2_00003817.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954450.856937,psf_trial2_00003822.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954451.600222,psf_trial2_00003828.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954452.350164,psf_trial2_00003833.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954453.103715,psf_trial2_00003838.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954453.874540,psf_trial2_00003843.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954454.733473,psf_trial2_00003849.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954455.489186,psf_trial2_00003854.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954456.243772,psf_trial2_00003860.fits,1.642629,0.038186,2.838091,50.000000,50.000000
1577954457.003831,psf_trial2_00003865.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954457.746253,psf_trial2_00003870.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954458.497489,psf_trial2_00003875.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954459.243817,psf_trial2_00003880.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954460.006655,psf_trial2_00003885.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954460.771197,psf_trial2_00003891.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954461.532204,psf_trial2_00003896.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954462.295209,psf_trial2_00003901.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954463.043712,psf_trial2_00003907.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954463.788615,psf_trial2_00003912.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
