filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial5_00001513.fits,0.0,0.0,0.0,-0.375,-0.25
psf_trial5_00009382.fits,0.0,0.0,0.0,-1.125,0.4999999999999997
psf_trial5_00001239.fits,0.0,0.0,0.0,-0.8750000000000001,-0.375
psf_trial5_00004030.fits,0.0,0.0,0.0,-0.25,4.33680868994201e-17
psf_trial5_00007226.fits,0.0,0.0,0.0,-2.5,2.375
psf_trial5_00006220.fits,0.0,0.0,0.0,-4.625000000000002,3.0
psf_trial5_00001949.fits,0.0,0.0,0.0,-1.75,-1.875
psf_trial5_00004137.fits,0.0,0.0,0.0,-0.375,0.6250000000000001
psf_trial5_00000318.fits,0.0,0.0,0.0,0.1250000000000001,-0.375
psf_trial5_00000362.fits,0.0,0.0,0.0,0.1250000000000001,-0.25
psf_trial5_00007378.fits,0.0,0.0,0.0,-2.375,1.624999999999999
psf_trial5_00002301.fits,0.0,0.0,0.0,-0.625,-2.375
psf_trial5_00009105.fits,0.0,0.0,0.0,-1.624999999999999,0.3749999999999997
psf_trial5_00009473.fits,0.0,0.0,0.0,-1.25,0.3749999999999997
psf_trial5_00002136.fits,0.0,0.0,0.0,-1.0,-2.25
psf_trial5_00004613.fits,0.0,0.0,0.0,-1.0,0.5000000000000001
psf_trial5_00003926.fits,0.0,0.0,0.0,-0.125,4.33680868994201e-17
psf_trial5_00005302.fits,0.0,0.0,0.0,-2.375,2.0
psf_trial5_00001604.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.625
psf_trial5_00005771.fits,0.0,0.0,0.0,-3.500000000000001,2.25
psf_trial5_00002434.fits,0.0,0.0,0.0,-0.625,-2.0
psf_trial5_00001902.fits,0.0,0.0,0.0,-1.25,-1.75
psf_trial5_00007105.fits,0.0,0.0,0.0,-2.375,3.250000000000001
psf_trial5_00003748.fits,0.0,0.0,0.0,4.33680868994201e-17,4.33680868994201e-17
psf_trial5_00001991.fits,0.0,0.0,0.0,-1.75,-2.125
psf_trial5_00006612.fits,0.0,0.0,0.0,-3.125000000000001,3.500000000000001
psf_trial5_00004660.fits,0.0,0.0,0.0,-1.0,0.6250000000000001
psf_trial5_00003976.fits,0.0,0.0,0.0,-0.25,-0.125
psf_trial5_00004563.fits,0.0,0.0,0.0,-0.8750000000000001,0.2500000000000001
psf_trial5_00002288.fits,0.0,0.0,0.0,-0.5,-2.5
psf_trial5_00000407.fits,0.0,0.0,0.0,0.2500000000000001,4.33680868994201e-17
psf_trial5_00006899.fits,0.0,0.0,0.0,-2.5,3.375000000000001
psf_trial5_00002815.fits,0.0,0.0,0.0,-0.7500000000000001,-0.375
psf_trial5_00005920.fits,0.0,0.0,0.0,-4.375000000000002,2.875000000000001
psf_trial5_00003013.fits,0.0,0.0,0.0,-0.25,-0.25
psf_trial5_00000740.fits,0.0,0.0,0.0,-1.0,0.5000000000000001
psf_trial5_00001792.fits,0.0,0.0,0.0,-0.8750000000000001,-1.125
psf_trial5_00000988.fits,0.0,0.0,0.0,-1.0,0.7500000000000001
psf_trial5_00004046.fits,0.0,0.0,0.0,-0.25,4.33680868994201e-17
psf_trial5_00000814.fits,0.0,0.0,0.0,-1.25,0.2500000000000001
psf_trial5_00003717.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.25
psf_trial5_00006340.fits,0.0,0.0,0.0,-4.250000000000002,3.375000000000001
psf_trial5_00008095.fits,0.0,0.0,0.0,-2.375,1.375
psf_trial5_00005264.fits,0.0,0.0,0.0,-2.0,2.0
psf_trial5_00006048.fits,0.0,0.0,0.0,-4.500000000000002,3.250000000000001
psf_trial5_00001307.fits,0.0,0.0,0.0,-1.0,-0.25
psf_trial5_00006920.fits,0.0,0.0,0.0,-2.5,3.125000000000001
psf_trial5_00002173.fits,0.0,0.0,0.0,-1.125,-2.5
psf_trial5_00009342.fits,0.0,0.0,0.0,-1.499999999999999,0.6249999999999997
psf_trial5_00005654.fits,0.0,0.0,0.0,-3.875000000000001,2.125
psf_trial5_00008918.fits,0.0,0.0,0.0,-1.25,0.4999999999999997
psf_trial5_00007285.fits,0.0,0.0,0.0,-2.875,1.875
psf_trial5_00003506.fits,0.0,0.0,0.0,0.3750000000000001,-0.25
psf_trial5_00006416.fits,0.0,0.0,0.0,-4.125000000000002,3.625000000000001
psf_trial5_00007359.fits,0.0,0.0,0.0,-2.5,1.624999999999999
psf_trial5_00009989.fits,0.0,0.0,0.0,-0.8749999999999998,0.7499999999999997
psf_trial5_00002335.fits,0.0,0.0,0.0,-0.7500000000000001,-2.0
psf_trial5_00005028.fits,0.0,0.0,0.0,-2.25,2.0
psf_trial5_00003260.fits,0.0,0.0,0.0,0.2500000000000001,-0.25
psf_trial5_00005562.fits,0.0,0.0,0.0,-3.750000000000001,2.0
psf_trial5_00006799.fits,0.0,0.0,0.0,-2.375,3.625000000000001
psf_trial5_00006663.fits,0.0,0.0,0.0,-3.250000000000001,3.625000000000001
psf_trial5_00002266.fits,0.0,0.0,0.0,-0.5,-2.0
psf_trial5_00000252.fits,0.0,0.0,0.0,-0.25,-0.625
psf_trial5_00007312.fits,0.0,0.0,0.0,-2.75,1.75
psf_trial5_00003626.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.25
psf_trial5_00004819.fits,0.0,0.0,0.0,-1.25,1.5
psf_trial5_00000313.fits,0.0,0.0,0.0,0.1250000000000001,-0.625
psf_trial5_00000949.fits,0.0,0.0,0.0,-1.125,0.6250000000000001
psf_trial5_00007776.fits,0.0,0.0,0.0,-2.625,1.875
psf_trial5_00001360.fits,0.0,0.0,0.0,-0.7500000000000001,-0.125
psf_trial5_00001680.fits,0.0,0.0,0.0,-0.125,-1.125
psf_trial5_00004438.fits,0.0,0.0,0.0,-1.0,0.3750000000000001
psf_trial5_00007495.fits,0.0,0.0,0.0,-2.625,1.75
psf_trial5_00003481.fits,0.0,0.0,0.0,0.6250000000000001,4.33680868994201e-17
psf_trial5_00001174.fits,0.0,0.0,0.0,-1.0,0.1250000000000001
psf_trial5_00006812.fits,0.0,0.0,0.0,-2.375,3.500000000000001
psf_trial5_00006121.fits,0.0,0.0,0.0,-4.750000000000002,2.625
psf_trial5_00002037.fits,0.0,0.0,0.0,-1.625,-2.0
psf_trial5_00008345.fits,0.0,0.0,0.0,-2.25,1.875
psf_trial5_00005870.fits,0.0,0.0,0.0,-4.250000000000002,2.5
psf_trial5_00003803.fits,0.0,0.0,0.0,0.1250000000000001,-0.25
psf_trial5_00006905.fits,0.0,0.0,0.0,-2.25,3.375000000000001
psf_trial5_00001281.fits,0.0,0.0,0.0,-1.125,-0.375
psf_trial5_00001128.fits,0.0,0.0,0.0,-1.375,0.2500000000000001
psf_trial5_00005522.fits,0.0,0.0,0.0,-3.500000000000001,1.75
psf_trial5_00002702.fits,0.0,0.0,0.0,-1.125,-1.125
psf_trial5_00004183.fits,0.0,0.0,0.0,-0.25,0.3750000000000001
psf_trial5_00007044.fits,0.0,0.0,0.0,-2.375,3.250000000000001
psf_trial5_00004099.fits,0.0,0.0,0.0,-0.5,0.3750000000000001
psf_trial5_00007729.fits,0.0,0.0,0.0,-2.5,2.125
psf_trial5_00002531.fits,0.0,0.0,0.0,-0.8750000000000001,-1.625
psf_trial5_00003664.fits,0.0,0.0,0.0,-0.25,-0.625
psf_trial5_00002328.fits,0.0,0.0,0.0,-0.7500000000000001,-2.0
psf_trial5_00000352.fits,0.0,0.0,0.0,0.1250000000000001,-0.25
psf_trial5_00009159.fits,0.0,0.0,0.0,-1.375,0.4999999999999997
psf_trial5_00000090.fits,0.0,0.0,0.0,-0.25,-0.5
psf_trial5_00004391.fits,0.0,0.0,0.0,-1.25,0.2500000000000001
psf_trial5_00006620.fits,0.0,0.0,0.0,-3.125000000000001,3.500000000000001
psf_trial5_00007367.fits,0.0,0.0,0.0,-2.5,1.624999999999999
psf_trial5_00006835.fits,0.0,0.0,0.0,-2.375,3.500000000000001
psf_trial5_00008178.fits,0.0,0.0,0.0,-2.875,1.875
psf_trial5_00001354.fits,0.0,0.0,0.0,-0.7500000000000001,-0.25
psf_trial5_00009087.fits,0.0,0.0,0.0,-1.624999999999999,0.4999999999999997
